State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
andhra-pradesh,2018,1,Recharge & bill payments,5027448,892294000
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524300000
andhra-pradesh,2018,1,Merchant payments,362672,247298000
andhra-pradesh,2018,1,Financial Services,204305,44808400
andhra-pradesh,2018,1,Others,395514,287626000
andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598590000
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451500000
andhra-pradesh,2018,2,Merchant payments,604847,436785000
andhra-pradesh,2018,2,Financial Services,225621,68952100
andhra-pradesh,2018,2,Others,322063,328092000
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738600000
andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949100000
andhra-pradesh,2018,3,Merchant payments,1225416,685277000
andhra-pradesh,2018,3,Financial Services,380324,60790100
andhra-pradesh,2018,3,Others,348725,284249000
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011600000
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418160000
andhra-pradesh,2018,4,Merchant payments,2622131,1671590000
andhra-pradesh,2018,4,Financial Services,400837,57178100
andhra-pradesh,2018,4,Others,389411,315211000
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524300000
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480640000
andhra-pradesh,2019,1,Merchant payments,5043682,2423540000
andhra-pradesh,2019,1,Financial Services,416325,47150200
andhra-pradesh,2019,1,Others,361263,284938000
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,1.04E+11
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708350000
andhra-pradesh,2019,2,Merchant payments,9226537,4613410000
andhra-pradesh,2019,2,Financial Services,145310,26626700
andhra-pradesh,2019,2,Others,448802,361492000
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,1.24E+11
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893980000
andhra-pradesh,2019,3,Merchant payments,16581787,7887390000
andhra-pradesh,2019,3,Financial Services,122270,29778200
andhra-pradesh,2019,3,Others,413437,298142000
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,1.79E+11
andhra-pradesh,2019,4,Merchant payments,25122370,13476300000
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335170000
andhra-pradesh,2019,4,Financial Services,105662,26796600
andhra-pradesh,2019,4,Others,338672,216497000
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,2.23E+11
andhra-pradesh,2020,1,Merchant payments,31408022,18603200000
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813500000
andhra-pradesh,2020,1,Financial Services,75238,43739100
andhra-pradesh,2020,1,Others,292310,188229000
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,2.63E+11
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991000000
andhra-pradesh,2020,2,Merchant payments,29976765,22625600000
andhra-pradesh,2020,2,Financial Services,140941,145275000
andhra-pradesh,2020,2,Others,176241,90087700
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,4.06E+11
andhra-pradesh,2020,3,Merchant payments,54055557,40739600000
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475100000
andhra-pradesh,2020,3,Financial Services,243088,256075000
andhra-pradesh,2020,3,Others,312329,151583000
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,5.67E+11
andhra-pradesh,2020,4,Merchant payments,86581460,66654000000
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936300000
andhra-pradesh,2020,4,Financial Services,265470,305169000
andhra-pradesh,2020,4,Others,457527,306853000
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,5.81E+11
andhra-pradesh,2021,1,Merchant payments,97920281,70813200000
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546400000
andhra-pradesh,2021,1,Financial Services,225355,270313000
andhra-pradesh,2021,1,Others,347907,272546000
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,7.37E+11
andhra-pradesh,2021,2,Merchant payments,112875274,88512400000
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800000
andhra-pradesh,2021,2,Financial Services,243237,265483000
andhra-pradesh,2021,2,Others,406842,308302000
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,8.38E+11
andhra-pradesh,2021,3,Merchant payments,158290953,1.18E+11
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511300000
andhra-pradesh,2021,3,Financial Services,211171,297240000
andhra-pradesh,2021,3,Others,547759,403948000
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,9.71E+11
andhra-pradesh,2021,4,Merchant payments,207538904,1.53E+11
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232800000
andhra-pradesh,2021,4,Financial Services,243951,332740000
andhra-pradesh,2021,4,Others,701856,545223000
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1.09E+12
andhra-pradesh,2022,1,Merchant payments,242031836,1.69E+11
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473000000
andhra-pradesh,2022,1,Financial Services,231651,324359000
andhra-pradesh,2022,1,Others,627694,474382000
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1.23E+12
andhra-pradesh,2022,2,Merchant payments,292530048,2.05E+11
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408500000
andhra-pradesh,2022,2,Financial Services,192751,245783000
andhra-pradesh,2022,2,Others,441925,357036000
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1.14E+12
andhra-pradesh,2022,3,Merchant payments,291033653,2.03E+11
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438800000
andhra-pradesh,2022,3,Financial Services,187190,239347000
andhra-pradesh,2022,3,Others,362484,323951000
andhra-pradesh,2022,4,Merchant payments,321632104,2.12E+11
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1.17E+12
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986800000
andhra-pradesh,2022,4,Financial Services,206459,250597000
andhra-pradesh,2022,4,Others,345658,339211000
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184130
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889700
arunachal-pradesh,2018,1,Merchant payments,1042,2420370
arunachal-pradesh,2018,1,Financial Services,416,58893.8
arunachal-pradesh,2018,1,Others,1990,1834250
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468900
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576000
arunachal-pradesh,2018,2,Merchant payments,2378,4718950
arunachal-pradesh,2018,2,Financial Services,559,363762
arunachal-pradesh,2018,2,Others,2043,1842320
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997600
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106000
arunachal-pradesh,2018,3,Merchant payments,4738,5505690
arunachal-pradesh,2018,3,Financial Services,507,72133.8
arunachal-pradesh,2018,3,Others,2039,2044710
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662700
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831000
arunachal-pradesh,2018,4,Merchant payments,7726,11999000
arunachal-pradesh,2018,4,Financial Services,561,100598
arunachal-pradesh,2018,4,Others,2222,2446270
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796900
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568555000
arunachal-pradesh,2019,1,Merchant payments,9214,11727200
arunachal-pradesh,2019,1,Financial Services,256,140623
arunachal-pradesh,2019,1,Others,2239,2730550
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420800
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704238000
arunachal-pradesh,2019,2,Merchant payments,16828,13955700
arunachal-pradesh,2019,2,Financial Services,267,160661
arunachal-pradesh,2019,2,Others,3046,3880740
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946100
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037000
arunachal-pradesh,2019,3,Merchant payments,16900,17178200
arunachal-pradesh,2019,3,Financial Services,864,64089.1
arunachal-pradesh,2019,3,Others,2758,3419200
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516900
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100140000
arunachal-pradesh,2019,4,Merchant payments,19769,23192300
arunachal-pradesh,2019,4,Financial Services,314,305380
arunachal-pradesh,2019,4,Others,2376,3421170
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011700
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263910000
arunachal-pradesh,2020,1,Merchant payments,31181,28553100
arunachal-pradesh,2020,1,Financial Services,470,337813
arunachal-pradesh,2020,1,Others,2261,2943870
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145199000
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630650000
arunachal-pradesh,2020,2,Merchant payments,35169,46447000
arunachal-pradesh,2020,2,Financial Services,1310,2655510
arunachal-pradesh,2020,2,Others,1939,1761400
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153464000
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361600000
arunachal-pradesh,2020,3,Merchant payments,72736,88145200
arunachal-pradesh,2020,3,Financial Services,1761,4030600
arunachal-pradesh,2020,3,Others,3005,2695540
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254740000
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389000
arunachal-pradesh,2020,4,Merchant payments,167387,156683000
arunachal-pradesh,2020,4,Financial Services,1749,2391650
arunachal-pradesh,2020,4,Others,4079,4055320
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460490000
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358000
arunachal-pradesh,2021,1,Merchant payments,155966,204958000
arunachal-pradesh,2021,1,Financial Services,1558,2672460
arunachal-pradesh,2021,1,Others,3074,3301660
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960000
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165580000
arunachal-pradesh,2021,2,Merchant payments,243375,283709000
arunachal-pradesh,2021,2,Financial Services,1582,2761080
arunachal-pradesh,2021,2,Others,3755,3415110
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033600000
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187391000
arunachal-pradesh,2021,3,Merchant payments,314658,449869000
arunachal-pradesh,2021,3,Financial Services,1934,3348550
arunachal-pradesh,2021,3,Others,4185,3912140
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022730000
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207785000
