"UnionTerritories","Year","Quarter","Transaction_type","Transaction_count","Transaction_amount"
"andaman-&-nicobar-islands","2018","1","Recharge & bill payments","4200","1845310"
"andaman-&-nicobar-islands","2018","1","Peer-to-peer payments","1871","12138700"
"andaman-&-nicobar-islands","2018","1","Merchant payments","298","452507"
"andaman-&-nicobar-islands","2018","1","Financial Services","33","10601.4"
"andaman-&-nicobar-islands","2018","1","Others","256","184690"
"andaman-&-nicobar-islands","2018","2","Recharge & bill payments","6735","2320940"
"andaman-&-nicobar-islands","2018","2","Peer-to-peer payments","3575","24511900"
"andaman-&-nicobar-islands","2018","2","Merchant payments","603","1024490"
"andaman-&-nicobar-islands","2018","2","Financial Services","59","121336"
"andaman-&-nicobar-islands","2018","2","Others","368","359838"
"andaman-&-nicobar-islands","2018","3","Recharge & bill payments","8636","4343500"
"andaman-&-nicobar-islands","2018","3","Peer-to-peer payments","6448","49270800"
"andaman-&-nicobar-islands","2018","3","Merchant payments","945","1627360"
"andaman-&-nicobar-islands","2018","3","Financial Services","42","1481.49"
"andaman-&-nicobar-islands","2018","3","Others","194","314343"
"andaman-&-nicobar-islands","2018","4","Recharge & bill payments","11517","5450550"
"andaman-&-nicobar-islands","2018","4","Peer-to-peer payments","10451","81001500"
"andaman-&-nicobar-islands","2018","4","Merchant payments","1421","3552030"
"andaman-&-nicobar-islands","2018","4","Financial Services","29","76035.8"
"andaman-&-nicobar-islands","2018","4","Others","340","468266"
"andaman-&-nicobar-islands","2019","1","Recharge & bill payments","15263","6611460"
"andaman-&-nicobar-islands","2019","1","Peer-to-peer payments","13119","91808300"
"andaman-&-nicobar-islands","2019","1","Merchant payments","1759","3266590"
"andaman-&-nicobar-islands","2019","1","Financial Services","62","116250"
"andaman-&-nicobar-islands","2019","1","Others","283","497095"
"andaman-&-nicobar-islands","2019","2","Recharge & bill payments","14676","7242450"
"andaman-&-nicobar-islands","2019","2","Peer-to-peer payments","14481","107525000"
"andaman-&-nicobar-islands","2019","2","Merchant payments","4031","4702150"
"andaman-&-nicobar-islands","2019","2","Financial Services","124","113279"
"andaman-&-nicobar-islands","2019","2","Others","377","671471"
"andaman-&-nicobar-islands","2019","3","Recharge & bill payments","16219","8171740"
"andaman-&-nicobar-islands","2019","3","Peer-to-peer payments","13767","101080000"
"andaman-&-nicobar-islands","2019","3","Merchant payments","3519","4428730"
"andaman-&-nicobar-islands","2019","3","Financial Services","50","158858"
"andaman-&-nicobar-islands","2019","3","Others","215","232625"
"andaman-&-nicobar-islands","2019","4","Peer-to-peer payments","18128","121493000"
"andaman-&-nicobar-islands","2019","4","Recharge & bill payments","13851","9538690"
"andaman-&-nicobar-islands","2019","4","Merchant payments","2920","5247500"
"andaman-&-nicobar-islands","2019","4","Financial Services","60","295937"
"andaman-&-nicobar-islands","2019","4","Others","200","263178"
"andaman-&-nicobar-islands","2020","1","Peer-to-peer payments","18324","142332000"
"andaman-&-nicobar-islands","2020","1","Recharge & bill payments","18268","10850400"
"andaman-&-nicobar-islands","2020","1","Merchant payments","4424","7752870"
"andaman-&-nicobar-islands","2020","1","Financial Services","66","208232"
"andaman-&-nicobar-islands","2020","1","Others","216","332393"
"andaman-&-nicobar-islands","2020","2","Recharge & bill payments","38125","17659600"
"andaman-&-nicobar-islands","2020","2","Peer-to-peer payments","20303","141729000"
"andaman-&-nicobar-islands","2020","2","Merchant payments","4004","9236380"
"andaman-&-nicobar-islands","2020","2","Financial Services","175","706932"
"andaman-&-nicobar-islands","2020","2","Others","355","313313"
"andaman-&-nicobar-islands","2020","3","Recharge & bill payments","59310","24756200"
"andaman-&-nicobar-islands","2020","3","Peer-to-peer payments","40697","289079000"
"andaman-&-nicobar-islands","2020","3","Merchant payments","16096","22683000"
"andaman-&-nicobar-islands","2020","3","Financial Services","572","961837"
"andaman-&-nicobar-islands","2020","3","Others","808","539450"
"andaman-&-nicobar-islands","2020","4","Peer-to-peer payments","81439","533317000"
"andaman-&-nicobar-islands","2020","4","Recharge & bill payments","80811","33710000"
"andaman-&-nicobar-islands","2020","4","Merchant payments","59391","56867500"
"andaman-&-nicobar-islands","2020","4","Financial Services","965","1880550"
"andaman-&-nicobar-islands","2020","4","Others","1925","1508080"
"andaman-&-nicobar-islands","2021","1","Peer-to-peer payments","105458","665391000"
"andaman-&-nicobar-islands","2021","1","Recharge & bill payments","84119","37160900"
"andaman-&-nicobar-islands","2021","1","Merchant payments","53090","78607000"
"andaman-&-nicobar-islands","2021","1","Financial Services","884","1469350"
"andaman-&-nicobar-islands","2021","1","Others","1201","1077920"
"andaman-&-nicobar-islands","2021","2","Peer-to-peer payments","132772","748382000"
"andaman-&-nicobar-islands","2021","2","Recharge & bill payments","120911","43692000"
"andaman-&-nicobar-islands","2021","2","Merchant payments","85143","103707000"
"andaman-&-nicobar-islands","2021","2","Financial Services","960","2038520"
"andaman-&-nicobar-islands","2021","2","Others","1628","1327080"
"andaman-&-nicobar-islands","2021","3","Peer-to-peer payments","192321","1077790000"
"andaman-&-nicobar-islands","2021","3","Recharge & bill payments","136010","51243500"
"andaman-&-nicobar-islands","2021","3","Merchant payments","118340","176991000"
"andaman-&-nicobar-islands","2021","3","Financial Services","990","2351010"
"andaman-&-nicobar-islands","2021","3","Others","2103","1650770"
"andaman-&-nicobar-islands","2021","4","Peer-to-peer payments","285778","1544930000"
"andaman-&-nicobar-islands","2021","4","Merchant payments","210164","322842000"
"andaman-&-nicobar-islands","2021","4","Recharge & bill payments","135608","59243500"
"andaman-&-nicobar-islands","2021","4","Financial Services","1718","3137970"
"andaman-&-nicobar-islands","2021","4","Others","2855","2453640"
"andaman-&-nicobar-islands","2022","1","Peer-to-peer payments","342649","1682330000"
"andaman-&-nicobar-islands","2022","1","Merchant payments","284298","370092000"
"andaman-&-nicobar-islands","2022","1","Recharge & bill payments","163401","71300100"
