"State","Year","Quarter","Brands","User_Count","User_Percentage"
"andhra-pradesh","2018","1","Xiaomi","836581","25.074"
"andhra-pradesh","2018","1","Samsung","683687","20.4915"
"andhra-pradesh","2018","1","Vivo","425959","12.7668"
"andhra-pradesh","2018","1","Oppo","304487","9.12608"
"andhra-pradesh","2018","1","Realme","236646","7.09275"
"andhra-pradesh","2018","1","Motorola","129739","3.88853"
"andhra-pradesh","2018","1","OnePlus","129421","3.879"
"andhra-pradesh","2018","1","Apple","123274","3.69477"
"andhra-pradesh","2018","1","Lenovo","84138","2.52178"
"andhra-pradesh","2018","1","Huawei","76654","2.29747"
"andhra-pradesh","2018","1","Others","305864","9.16735"
"andhra-pradesh","2018","2","Xiaomi","1113800","25.299"
"andhra-pradesh","2018","2","Samsung","903290","20.5175"
"andhra-pradesh","2018","2","Vivo","586965","13.3324"
"andhra-pradesh","2018","2","Oppo","410549","9.32528"
"andhra-pradesh","2018","2","Realme","305964","6.94972"
"andhra-pradesh","2018","2","Motorola","169847","3.85793"
"andhra-pradesh","2018","2","OnePlus","155418","3.53019"
"andhra-pradesh","2018","2","Apple","151847","3.44908"
"andhra-pradesh","2018","2","Lenovo","107441","2.44043"
"andhra-pradesh","2018","2","Huawei","102929","2.33795"
"andhra-pradesh","2018","2","Others","394490","8.96051"
"andhra-pradesh","2018","3","Xiaomi","1385112","25.5197"
"andhra-pradesh","2018","3","Samsung","1103186","20.3254"
"andhra-pradesh","2018","3","Vivo","761793","14.0355"
"andhra-pradesh","2018","3","Oppo","518120","9.54599"
"andhra-pradesh","2018","3","Realme","379712","6.99592"
"andhra-pradesh","2018","3","Motorola","203756","3.75406"
"andhra-pradesh","2018","3","OnePlus","181364","3.3415"
"andhra-pradesh","2018","3","Apple","175343","3.23057"
"andhra-pradesh","2018","3","Huawei","134429","2.47676"
"andhra-pradesh","2018","3","Lenovo","122489","2.25677"
"andhra-pradesh","2018","3","Others","462313","8.51779"
"andhra-pradesh","2018","4","Xiaomi","1753802","25.5753"
"andhra-pradesh","2018","4","Samsung","1388061","20.2418"
"andhra-pradesh","2018","4","Vivo","1011185","14.7459"
"andhra-pradesh","2018","4","Oppo","675093","9.84472"
"andhra-pradesh","2018","4","Realme","476746","6.95228"
"andhra-pradesh","2018","4","Motorola","250601","3.65446"
"andhra-pradesh","2018","4","OnePlus","210161","3.06473"
"andhra-pradesh","2018","4","Apple","209737","3.05855"
"andhra-pradesh","2018","4","Huawei","176237","2.57002"
"andhra-pradesh","2018","4","Lenovo","149583","2.18133"
"andhra-pradesh","2018","4","Others","556203","8.11098"
"andhra-pradesh","2019","1","Xiaomi","2110547","25.4804"
"andhra-pradesh","2019","1","Samsung","1688342","20.3832"
"andhra-pradesh","2019","1","Vivo","1262871","15.2465"
"andhra-pradesh","2019","1","Oppo","835541","10.0874"
"andhra-pradesh","2019","1","Realme","564832","6.81916"
"andhra-pradesh","2019","1","Motorola","291830","3.52323"
"andhra-pradesh","2019","1","Apple","241108","2.91087"
"andhra-pradesh","2019","1","OnePlus","237269","2.86452"
"andhra-pradesh","2019","1","Huawei","220082","2.65703"
"andhra-pradesh","2019","1","Lenovo","171471","2.07015"
"andhra-pradesh","2019","1","Others","659126","7.95756"
"andhra-pradesh","2019","2","Xiaomi","2389374","25.4486"
"andhra-pradesh","2019","2","Samsung","1914378","20.3896"
"andhra-pradesh","2019","2","Vivo","1466695","15.6214"
"andhra-pradesh","2019","2","Oppo","963352","10.2604"
"andhra-pradesh","2019","2","Realme","641519","6.83266"
"andhra-pradesh","2019","2","Motorola","324778","3.45913"
"andhra-pradesh","2019","2","Apple","264860","2.82096"
"andhra-pradesh","2019","2","OnePlus","254273","2.7082"
"andhra-pradesh","2019","2","Huawei","250859","2.67184"
"andhra-pradesh","2019","2","Lenovo","189151","2.0146"
"andhra-pradesh","2019","2","Others","729764","7.77254"
"andhra-pradesh","2019","3","Xiaomi","2656468","25.3996"
"andhra-pradesh","2019","3","Samsung","2123659","20.3052"
"andhra-pradesh","2019","3","Vivo","1674109","16.0069"
"andhra-pradesh","2019","3","Oppo","1087660","10.3996"
"andhra-pradesh","2019","3","Realme","727964","6.96037"
"andhra-pradesh","2019","3","Motorola","348910","3.33608"
"andhra-pradesh","2019","3","Apple","286412","2.73851"
"andhra-pradesh","2019","3","Huawei","282587","2.70193"
"andhra-pradesh","2019","3","OnePlus","271100","2.5921"
"andhra-pradesh","2019","3","Lenovo","194180","1.85664"
"andhra-pradesh","2019","3","Others","805644","7.7031"
"andhra-pradesh","2019","4","Xiaomi","2985953","25.3953"
"andhra-pradesh","2019","4","Samsung","2379139","20.2344"
"andhra-pradesh","2019","4","Vivo","1922141","16.3477"
"andhra-pradesh","2019","4","Oppo","1241235","10.5566"
"andhra-pradesh","2019","4","Realme","844668","7.18384"
"andhra-pradesh","2019","4","Motorola","381692","3.24626"
"andhra-pradesh","2019","4","Huawei","317290","2.69853"
"andhra-pradesh","2019","4","Apple","308354","2.62253"
"andhra-pradesh","2019","4","OnePlus","286412","2.43591"
"andhra-pradesh","2019","4","Lenovo","208785","1.7757"
"andhra-pradesh","2019","4","Others","882214","7.50317"
