"UnionTerritories","Year","Quarter","Brands","User_Count","User_Percentage"
"andaman-&-nicobar-islands","2018","1","Xiaomi","1665","24.7033"
"andaman-&-nicobar-islands","2018","1","Samsung","1445","21.4392"
"andaman-&-nicobar-islands","2018","1","Vivo","982","14.5697"
"andaman-&-nicobar-islands","2018","1","Oppo","501","7.43323"
"andaman-&-nicobar-islands","2018","1","OnePlus","332","4.92582"
"andaman-&-nicobar-islands","2018","1","Realme","316","4.68843"
"andaman-&-nicobar-islands","2018","1","Apple","229","3.39763"
"andaman-&-nicobar-islands","2018","1","Motorola","226","3.35312"
"andaman-&-nicobar-islands","2018","1","Lenovo","202","2.99703"
"andaman-&-nicobar-islands","2018","1","Huawei","158","2.34421"
"andaman-&-nicobar-islands","2018","1","Others","684","10.1484"
"andaman-&-nicobar-islands","2018","2","Xiaomi","2303","24.487"
"andaman-&-nicobar-islands","2018","2","Samsung","1923","20.4466"
"andaman-&-nicobar-islands","2018","2","Vivo","1523","16.1935"
"andaman-&-nicobar-islands","2018","2","Oppo","708","7.52791"
"andaman-&-nicobar-islands","2018","2","OnePlus","466","4.95481"
"andaman-&-nicobar-islands","2018","2","Realme","465","4.94418"
"andaman-&-nicobar-islands","2018","2","Motorola","319","3.39181"
"andaman-&-nicobar-islands","2018","2","Apple","308","3.27485"
"andaman-&-nicobar-islands","2018","2","Lenovo","244","2.59436"
"andaman-&-nicobar-islands","2018","2","Huawei","230","2.44551"
"andaman-&-nicobar-islands","2018","2","Others","916","9.7395"
"andaman-&-nicobar-islands","2018","3","Xiaomi","2950","24.2818"
"andaman-&-nicobar-islands","2018","3","Samsung","2409","19.8288"
"andaman-&-nicobar-islands","2018","3","Vivo","2063","16.9808"
"andaman-&-nicobar-islands","2018","3","Oppo","988","8.13236"
"andaman-&-nicobar-islands","2018","3","OnePlus","617","5.07861"
"andaman-&-nicobar-islands","2018","3","Realme","603","4.96337"
"andaman-&-nicobar-islands","2018","3","Motorola","390","3.21014"
"andaman-&-nicobar-islands","2018","3","Apple","371","3.05375"
"andaman-&-nicobar-islands","2018","3","Huawei","314","2.58457"
"andaman-&-nicobar-islands","2018","3","Lenovo","299","2.46111"
"andaman-&-nicobar-islands","2018","3","Others","1145","9.42464"
"andaman-&-nicobar-islands","2018","4","Xiaomi","3719","24.4317"
"andaman-&-nicobar-islands","2018","4","Samsung","2936","19.2879"
"andaman-&-nicobar-islands","2018","4","Vivo","2742","18.0134"
"andaman-&-nicobar-islands","2018","4","Oppo","1268","8.33005"
"andaman-&-nicobar-islands","2018","4","Realme","760","4.99277"
"andaman-&-nicobar-islands","2018","4","OnePlus","721","4.73657"
"andaman-&-nicobar-islands","2018","4","Motorola","474","3.11391"
"andaman-&-nicobar-islands","2018","4","Apple","455","2.98909"
