"State","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"andhra-pradesh","2018","1","east godavari district","943935","1235790000"
"andhra-pradesh","2018","1","srikakulam district","458921","587778000"
"andhra-pradesh","2018","1","spsr nellore district","531612","676643000"
"andhra-pradesh","2018","1","vizianagaram district","420990","505783000"
"andhra-pradesh","2018","1","visakhapatnam district","1256469","1749970000"
"andhra-pradesh","2018","1","prakasam district","534757","748991000"
"andhra-pradesh","2018","1","anantapur district","638664","788831000"
"andhra-pradesh","2018","1","ysr district","487333","681482000"
"andhra-pradesh","2018","1","west godavari district","577090","853548000"
"andhra-pradesh","2018","1","kurnool district","679623","764905000"
"andhra-pradesh","2018","1","chittoor district","830324","1009620000"
"andhra-pradesh","2018","1","guntur district","815932","1108690000"
"andhra-pradesh","2018","1","krishna district","863935","1284260000"
"andhra-pradesh","2018","2","east godavari district","1221677","2168910000"
"andhra-pradesh","2018","2","srikakulam district","559868","929392000"
"andhra-pradesh","2018","2","spsr nellore district","780454","1542060000"
"andhra-pradesh","2018","2","vizianagaram district","529588","811711000"
"andhra-pradesh","2018","2","visakhapatnam district","1641192","2987850000"
"andhra-pradesh","2018","2","prakasam district","739991","1571170000"
"andhra-pradesh","2018","2","anantapur district","937023","1690370000"
"andhra-pradesh","2018","2","ysr district","690842","1415500000"
"andhra-pradesh","2018","2","west godavari district","786033","1688030000"
"andhra-pradesh","2018","2","kurnool district","968439","1531890000"
"andhra-pradesh","2018","2","chittoor district","1185723","1990420000"
"andhra-pradesh","2018","2","guntur district","1088101","2108480000"
"andhra-pradesh","2018","2","krishna district","1224987","2448140000"
"andhra-pradesh","2018","3","east godavari district","3226907","3551250000"
"andhra-pradesh","2018","3","srikakulam district","1073883","1318320000"
"andhra-pradesh","2018","3","spsr nellore district","1308890","2215940000"
"andhra-pradesh","2018","3","vizianagaram district","970132","1163550000"
"andhra-pradesh","2018","3","visakhapatnam district","3394576","4821890000"
"andhra-pradesh","2018","3","prakasam district","1319651","2346450000"
"andhra-pradesh","2018","3","anantapur district","1815215","2681790000"
"andhra-pradesh","2018","3","ysr district","1557444","2235900000"
"andhra-pradesh","2018","3","west godavari district","1431282","2309080000"
"andhra-pradesh","2018","3","kurnool district","2921189","2908390000"
"andhra-pradesh","2018","3","chittoor district","2297429","3283520000"
"andhra-pradesh","2018","3","guntur district","1912529","3127760000"
"andhra-pradesh","2018","3","krishna district","2396934","3754200000"
"andhra-pradesh","2018","4","east godavari district","3052762","4652620000"
"andhra-pradesh","2018","4","srikakulam district","1252807","1870280000"
"andhra-pradesh","2018","4","spsr nellore district","1814997","3293450000"
