"UnionTerritories","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"andaman-&-nicobar-islands","2018","1","north and middle andaman district","442","931663"
"andaman-&-nicobar-islands","2018","1","south andaman district","5688","12560200"
"andaman-&-nicobar-islands","2018","1","nicobars district","528","1139850"
"andaman-&-nicobar-islands","2018","2","north and middle andaman district","825","1317860"
"andaman-&-nicobar-islands","2018","2","south andaman district","9395","23948200"
"andaman-&-nicobar-islands","2018","2","nicobars district","1120","3072440"
"andaman-&-nicobar-islands","2018","3","north and middle andaman district","1283","4901530"
"andaman-&-nicobar-islands","2018","3","south andaman district","13511","44268100"
"andaman-&-nicobar-islands","2018","3","nicobars district","1471","6387830"
"andaman-&-nicobar-islands","2018","4","north and middle andaman district","2137","7955640"
"andaman-&-nicobar-islands","2018","4","south andaman district","20136","75411800"
"andaman-&-nicobar-islands","2018","4","nicobars district","1485","7180860"
"andaman-&-nicobar-islands","2019","1","north and middle andaman district","3264","9561710"
"andaman-&-nicobar-islands","2019","1","south andaman district","25683","85502000"
"andaman-&-nicobar-islands","2019","1","nicobars district","1539","7236060"
"andaman-&-nicobar-islands","2019","2","north and middle andaman district","3371","8612100"
"andaman-&-nicobar-islands","2019","2","south andaman district","28490","102531000"
"andaman-&-nicobar-islands","2019","2","nicobars district","1828","9111650"
"andaman-&-nicobar-islands","2019","3","north and middle andaman district","4049","11481500"
"andaman-&-nicobar-islands","2019","3","south andaman district","27421","91023900"
"andaman-&-nicobar-islands","2019","3","nicobars district","2300","11566400"
"andaman-&-nicobar-islands","2019","4","north and middle andaman district","4716","13524100"
"andaman-&-nicobar-islands","2019","4","south andaman district","27843","110930000"
"andaman-&-nicobar-islands","2019","4","nicobars district","2600","12384200"
"andaman-&-nicobar-islands","2020","1","north and middle andaman district","5674","14697400"
"andaman-&-nicobar-islands","2020","1","south andaman district","32713","134679000"
"andaman-&-nicobar-islands","2020","1","nicobars district","2911","12099500"
"andaman-&-nicobar-islands","2020","2","north and middle andaman district","10979","22447700"
"andaman-&-nicobar-islands","2020","2","south andaman district","48088","132856000"
"andaman-&-nicobar-islands","2020","2","nicobars district","3895","14341500"
"andaman-&-nicobar-islands","2020","3","north and middle andaman district","16747","33486900"
"andaman-&-nicobar-islands","2020","3","south andaman district","95323","282366000"
"andaman-&-nicobar-islands","2020","3","nicobars district","5413","22166500"
"andaman-&-nicobar-islands","2020","4","north and middle andaman district","29349","68941300"
"andaman-&-nicobar-islands","2020","4","south andaman district","186494","523122000"
"andaman-&-nicobar-islands","2020","4","nicobars district","8688","35218900"
"andaman-&-nicobar-islands","2021","1","north and middle andaman district","27358","75027300"
"andaman-&-nicobar-islands","2021","1","south andaman district","207092","669604000"
"andaman-&-nicobar-islands","2021","1","nicobars district","10302","39075300"
