"State","Year","Quarter","District_Pincode","Transaction_count","Transaction_amount"
"andhra-pradesh","2018","1","517501","110496","163487000"
"andhra-pradesh","2018","1","520001","96883","170606000"
"andhra-pradesh","2018","1","515001","92754","133522000"
"andhra-pradesh","2018","1","517507","88132","127450000"
"andhra-pradesh","2018","1","516001","84644","131194000"
"andhra-pradesh","2018","1","518502","82421","68040300"
"andhra-pradesh","2018","1","530016","81891","140881000"
"andhra-pradesh","2018","1","520010","69581","119010000"
"andhra-pradesh","2018","1","516360","68340","101612000"
"andhra-pradesh","2018","1","518501","68193","81006500"
"andhra-pradesh","2018","2","517501","165506","305629000"
"andhra-pradesh","2018","2","518502","140893","127814000"
"andhra-pradesh","2018","2","515001","129798","285925000"
"andhra-pradesh","2018","2","517507","127731","243405000"
"andhra-pradesh","2018","2","520001","123176","271912000"
"andhra-pradesh","2018","2","516001","114806","242175000"
"andhra-pradesh","2018","2","530016","111874","235770000"
"andhra-pradesh","2018","2","520010","100630","220730000"
"andhra-pradesh","2018","2","516360","96619","197069000"
"andhra-pradesh","2018","2","518501","93442","163943000"
"andhra-pradesh","2018","3","518502","1300146","709766000"
"andhra-pradesh","2018","3","533437","421968","240766000"
"andhra-pradesh","2018","3","518501","296154","291248000"
"andhra-pradesh","2018","3","517501","295403","466134000"
"andhra-pradesh","2018","3","515001","276595","438158000"
"andhra-pradesh","2018","3","530016","234494","380410000"
"andhra-pradesh","2018","3","517507","233347","386564000"
"andhra-pradesh","2018","3","516259","220165","109844000"
"andhra-pradesh","2018","3","520011","213275","291806000"
"andhra-pradesh","2018","3","520001","206435","371140000"
"andhra-pradesh","2018","4","518502","441662","332201000"
"andhra-pradesh","2018","4","517501","423357","714888000"
"andhra-pradesh","2018","4","530016","367619","575982000"
"andhra-pradesh","2018","4","515001","355695","651953000"
"andhra-pradesh","2018","4","517507","318300","594748000"
"andhra-pradesh","2018","4","530003","277131","356076000"
"andhra-pradesh","2018","4","516001","269798","572252000"
"andhra-pradesh","2018","4","520010","250261","492230000"
"andhra-pradesh","2018","4","530017","248725","326891000"
"andhra-pradesh","2018","4","518501","248520","357423000"
"andhra-pradesh","2019","1","530001","950821","1529040000"
"andhra-pradesh","2019","1","517501","922416","1244730000"
"andhra-pradesh","2019","1","520001","814616","1462810000"
"andhra-pradesh","2019","1","530016","684611","960022000"
"andhra-pradesh","2019","1","517507","671661","1009130000"
"andhra-pradesh","2019","1","515001","609682","1009940000"
"andhra-pradesh","2019","1","518502","545426","389783000"
"andhra-pradesh","2019","1","530003","527667","590799000"
"andhra-pradesh","2019","1","530017","472914","531596000"
"andhra-pradesh","2019","1","520010","460133","774931000"
"andhra-pradesh","2019","2","530001","2602865","5218800000"
"andhra-pradesh","2019","2","520001","1828617","3823390000"
"andhra-pradesh","2019","2","517501","949187","1669950000"
"andhra-pradesh","2019","2","522001","839909","1759420000"
"andhra-pradesh","2019","2","530016","793798","1257920000"
"andhra-pradesh","2019","2","517507","760335","1412860000"
"andhra-pradesh","2019","2","515001","567306","1282120000"
"andhra-pradesh","2019","2","530003","520142","718171000"
"andhra-pradesh","2019","2","520010","490697","973984000"
"andhra-pradesh","2019","2","530017","480905","650710000"
"andhra-pradesh","2019","3","530001","2944756","6693260000"
"andhra-pradesh","2019","3","520001","1905190","4414500000"
"andhra-pradesh","2019","3","517501","1434209","2203930000"
"andhra-pradesh","2019","3","530016","1196020","1658160000"
"andhra-pradesh","2019","3","517507","1060513","1854930000"
"andhra-pradesh","2019","3","522001","1003916","2216530000"
"andhra-pradesh","2019","3","515001","868052","1667830000"
"andhra-pradesh","2019","3","530003","858005","970993000"
"andhra-pradesh","2019","3","530017","799271","911939000"
"andhra-pradesh","2019","3","530026","711726","1095060000"
"andhra-pradesh","2019","4","530001","4185063","9160390000"
"andhra-pradesh","2019","4","520001","2544877","5933010000"
"andhra-pradesh","2019","4","517501","1920211","3073080000"
"andhra-pradesh","2019","4","530016","1591033","2295180000"
"andhra-pradesh","2019","4","530026","1438154","2509390000"
"andhra-pradesh","2019","4","517507","1406768","2478460000"
"andhra-pradesh","2019","4","522001","1324202","2927310000"
"andhra-pradesh","2019","4","515001","1202983","2376870000"
"andhra-pradesh","2019","4","530003","1131832","1339100000"
"andhra-pradesh","2019","4","530017","1084796","1266930000"
"andhra-pradesh","2020","1","530026","6695271","15258700000"
"andhra-pradesh","2020","1","517501","2196548","3731400000"
"andhra-pradesh","2020","1","530016","1661816","2593330000"
"andhra-pradesh","2020","1","517507","1554974","2719620000"
"andhra-pradesh","2020","1","515001","1346804","2696430000"
"andhra-pradesh","2020","1","530003","1159480","1519960000"
"andhra-pradesh","2020","1","524002","1125194","2653340000"
"andhra-pradesh","2020","1","530017","1104748","1412380000"
"andhra-pradesh","2020","1","520010","1098395","2059550000"
"andhra-pradesh","2020","1","522001","1058410","2575720000"
"andhra-pradesh","2020","2","530026","4994637","12817900000"
"andhra-pradesh","2020","2","517501","1708935","3203680000"
"andhra-pradesh","2020","2","517507","1575118","2854710000"
"andhra-pradesh","2020","2","524002","1553283","3993960000"
"andhra-pradesh","2020","2","530016","1067022","1893630000"
"andhra-pradesh","2020","2","516001","1066066","2616100000"
"andhra-pradesh","2020","2","515001","1026587","2447760000"
"andhra-pradesh","2020","2","518002","979822","2015820000"
"andhra-pradesh","2020","2","522001","963666","2678050000"
"andhra-pradesh","2020","2","520002","956641","2767050000"
"andhra-pradesh","2020","3","524002","5194663","13718700000"
"andhra-pradesh","2020","3","530026","4159532","10383200000"
"andhra-pradesh","2020","3","517501","2735691","5544720000"
"andhra-pradesh","2020","3","516001","2534360","6637580000"
"andhra-pradesh","2020","3","517507","2306174","4594510000"
"andhra-pradesh","2020","3","520002","2238996","6543180000"
"andhra-pradesh","2020","3","530016","1921871","3560900000"
"andhra-pradesh","2020","3","515001","1669413","4116760000"
"andhra-pradesh","2020","3","522001","1625687","4701120000"
"andhra-pradesh","2020","3","518002","1514873","3352460000"
"andhra-pradesh","2020","4","524002","5029692","12810600000"
"andhra-pradesh","2020","4","530026","4235146","9849640000"
"andhra-pradesh","2020","4","517501","4125544","7866880000"
"andhra-pradesh","2020","4","517507","3420778","6749700000"
"andhra-pradesh","2020","4","516001","3119905","8005250000"
"andhra-pradesh","2020","4","530016","2981818","5591060000"
"andhra-pradesh","2020","4","515001","2821800","6442100000"
"andhra-pradesh","2020","4","518002","2219953","4809930000"
"andhra-pradesh","2020","4","520010","2170458","4679870000"
"andhra-pradesh","2020","4","530017","2027751","3252430000"
"andhra-pradesh","2021","1","524002","7269657","16698400000"
"andhra-pradesh","2021","1","530026","5875319","13567000000"
"andhra-pradesh","2021","1","517501","4354325","8224300000"
"andhra-pradesh","2021","1","520002","3591058","9183850000"
"andhra-pradesh","2021","1","517507","3378549","6593120000"
"andhra-pradesh","2021","1","530016","3144495","5679150000"
"andhra-pradesh","2021","1","516001","2941623","7434210000"
"andhra-pradesh","2021","1","515001","2815993","6225480000"
"andhra-pradesh","2021","1","522001","2584588","6753210000"
"andhra-pradesh","2021","1","520010","2291676","4716740000"
"andhra-pradesh","2021","2","524002","11023032","25519400000"
"andhra-pradesh","2021","2","530026","7850540","19042800000"
