UnionTerritories,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,744101,1622,2769300
andaman-&-nicobar-islands,2018,1,744103,1223,2238040
andaman-&-nicobar-islands,2018,1,744102,969,3519060
andaman-&-nicobar-islands,2018,1,744105,685,1298560
andaman-&-nicobar-islands,2018,1,744104,340,1039720
andaman-&-nicobar-islands,2018,1,744107,302,556060
andaman-&-nicobar-islands,2018,1,744301,283,445739
andaman-&-nicobar-islands,2018,1,744112,269,333710
andaman-&-nicobar-islands,2018,1,744202,193,238914
andaman-&-nicobar-islands,2018,1,744302,168,547470
andaman-&-nicobar-islands,2018,2,744101,2701,6310090
andaman-&-nicobar-islands,2018,2,744103,1965,4752150
andaman-&-nicobar-islands,2018,2,744102,1525,5810270
andaman-&-nicobar-islands,2018,2,744105,997,2200330
andaman-&-nicobar-islands,2018,2,744301,767,1953750
andaman-&-nicobar-islands,2018,2,744104,659,1650350
andaman-&-nicobar-islands,2018,2,744107,594,1601570
andaman-&-nicobar-islands,2018,2,744112,432,578829
andaman-&-nicobar-islands,2018,2,744202,405,626524
andaman-&-nicobar-islands,2018,2,744302,291,1026590
andaman-&-nicobar-islands,2018,3,744101,3462,10833900
andaman-&-nicobar-islands,2018,3,744103,3182,10184200
andaman-&-nicobar-islands,2018,3,744102,2224,10365300
andaman-&-nicobar-islands,2018,3,744105,1613,5152530
andaman-&-nicobar-islands,2018,3,744104,1029,2588080
andaman-&-nicobar-islands,2018,3,744301,975,4256580
andaman-&-nicobar-islands,2018,3,744112,579,1145820
andaman-&-nicobar-islands,2018,3,744107,547,1492410
andaman-&-nicobar-islands,2018,3,744302,417,1976780
andaman-&-nicobar-islands,2018,3,744202,341,2099400
andaman-&-nicobar-islands,2018,4,744101,4674,16392900
andaman-&-nicobar-islands,2018,4,744103,4576,17022500
andaman-&-nicobar-islands,2018,4,744102,3306,17020000
andaman-&-nicobar-islands,2018,4,744105,2513,9935280
andaman-&-nicobar-islands,2018,4,744104,1432,6091760
andaman-&-nicobar-islands,2018,4,744211,1225,3451360
andaman-&-nicobar-islands,2018,4,744301,928,4606290
andaman-&-nicobar-islands,2018,4,744112,759,2208680
andaman-&-nicobar-islands,2018,4,744107,747,1825660
andaman-&-nicobar-islands,2018,4,744202,702,3797050
andaman-&-nicobar-islands,2019,1,744103,5742,19402000
andaman-&-nicobar-islands,2019,1,744101,5156,15501300
andaman-&-nicobar-islands,2019,1,744102,3925,16683500
andaman-&-nicobar-islands,2019,1,744105,3553,11588700
andaman-&-nicobar-islands,2019,1,744104,2833,9141660
andaman-&-nicobar-islands,2019,1,744211,1511,5794840
andaman-&-nicobar-islands,2019,1,744202,1112,3613380
andaman-&-nicobar-islands,2019,1,744107,1029,3592930
andaman-&-nicobar-islands,2019,1,744301,920,4652960
andaman-&-nicobar-islands,2019,1,744112,802,1893720
andaman-&-nicobar-islands,2019,2,744104,6142,15625700
andaman-&-nicobar-islands,2019,2,744103,5847,23751400
andaman-&-nicobar-islands,2019,2,744101,4863,19061100
andaman-&-nicobar-islands,2019,2,744102,4120,18948700
andaman-&-nicobar-islands,2019,2,744105,3500,13418700
andaman-&-nicobar-islands,2019,2,744202,1153,3619990
andaman-&-nicobar-islands,2019,2,744107,1124,2967450
andaman-&-nicobar-islands,2019,2,744211,1047,3168330
andaman-&-nicobar-islands,2019,2,744301,1007,4849280
andaman-&-nicobar-islands,2019,2,744112,763,2928100
andaman-&-nicobar-islands,2019,3,744103,5680,19906300
andaman-&-nicobar-islands,2019,3,744101,5606,18745200
andaman-&-nicobar-islands,2019,3,744104,4786,15754800
andaman-&-nicobar-islands,2019,3,744102,3643,14572600
andaman-&-nicobar-islands,2019,3,744105,3512,11767200
andaman-&-nicobar-islands,2019,3,744202,1417,3875600
andaman-&-nicobar-islands,2019,3,744301,1402,6195500
andaman-&-nicobar-islands,2019,3,744211,1118,2983700
andaman-&-nicobar-islands,2019,3,744107,914,1988300
andaman-&-nicobar-islands,2019,3,744112,833,2198830
andaman-&-nicobar-islands,2019,4,744104,6633,20626600
andaman-&-nicobar-islands,2019,4,744101,5282,23247800
andaman-&-nicobar-islands,2019,4,744103,4840,19792500
andaman-&-nicobar-islands,2019,4,744105,3528,15302100
andaman-&-nicobar-islands,2019,4,744102,3237,15350400
andaman-&-nicobar-islands,2019,4,744202,1783,5800020
andaman-&-nicobar-islands,2019,4,744211,1596,7908260
andaman-&-nicobar-islands,2019,4,744301,1549,7056480
andaman-&-nicobar-islands,2019,4,744201,886,946768
andaman-&-nicobar-islands,2019,4,744107,777,3030370
andaman-&-nicobar-islands,2020,1,744101,11793,58229300
andaman-&-nicobar-islands,2020,1,744103,5870,22009400
andaman-&-nicobar-islands,2020,1,744105,4635,16774000
andaman-&-nicobar-islands,2020,1,744102,3820,14517700
andaman-&-nicobar-islands,2020,1,744211,1837,8425390
andaman-&-nicobar-islands,2020,1,744301,1819,6901160
andaman-&-nicobar-islands,2020,1,744202,1794,5037740
andaman-&-nicobar-islands,2020,1,744104,1302,5293130
andaman-&-nicobar-islands,2020,1,744201,1157,1242640
andaman-&-nicobar-islands,2020,1,744107,1043,2990350
andaman-&-nicobar-islands,2020,2,744101,11868,48293300
andaman-&-nicobar-islands,2020,2,744103,10035,26197500
andaman-&-nicobar-islands,2020,2,744105,9341,23203000
andaman-&-nicobar-islands,2020,2,744102,6012,17786800
andaman-&-nicobar-islands,2020,2,744202,3722,8924120
andaman-&-nicobar-islands,2020,2,744107,2555,3980470
andaman-&-nicobar-islands,2020,2,744301,2275,9055230
andaman-&-nicobar-islands,2020,2,744211,2045,3319720
andaman-&-nicobar-islands,2020,2,744205,1847,4459060
andaman-&-nicobar-islands,2020,2,744104,1840,3334590
andaman-&-nicobar-islands,2020,3,744101,24386,100439000
andaman-&-nicobar-islands,2020,3,744103,21272,60332300
andaman-&-nicobar-islands,2020,3,744105,17166,44061500
andaman-&-nicobar-islands,2020,3,744102,13934,43077200
andaman-&-nicobar-islands,2020,3,744202,5779,11975700
andaman-&-nicobar-islands,2020,3,744107,4753,7628020
andaman-&-nicobar-islands,2020,3,744104,3468,7353830
andaman-&-nicobar-islands,2020,3,744112,3422,6067990
andaman-&-nicobar-islands,2020,3,744301,3071,13352600
andaman-&-nicobar-islands,2020,3,744205,2991,7535650
andaman-&-nicobar-islands,2020,4,744103,46884,138265000
andaman-&-nicobar-islands,2020,4,744101,40392,136401000
andaman-&-nicobar-islands,2020,4,744105,34410,87838200
andaman-&-nicobar-islands,2020,4,744102,26694,76348600
andaman-&-nicobar-islands,2020,4,744202,10949,25543800
andaman-&-nicobar-islands,2020,4,744107,9743,18083200
andaman-&-nicobar-islands,2020,4,744104,7654,19126100
andaman-&-nicobar-islands,2020,4,744112,7016,15890300
andaman-&-nicobar-islands,2020,4,744205,5118,12002700
andaman-&-nicobar-islands,2020,4,744201,5011,6777280
andaman-&-nicobar-islands,2021,1,744101,55726,190831000
andaman-&-nicobar-islands,2021,1,744103,47328,158404000
andaman-&-nicobar-islands,2021,1,744105,35467,111572000
andaman-&-nicobar-islands,2021,1,744102,23957,80750000
andaman-&-nicobar-islands,2021,1,744211,10648,34956300
andaman-&-nicobar-islands,2021,1,744202,10597,28127600
andaman-&-nicobar-islands,2021,1,744107,8848,19628000
andaman-&-nicobar-islands,2021,1,744104,8799,27854300
andaman-&-nicobar-islands,2021,1,744112,7113,21084800
andaman-&-nicobar-islands,2021,1,744301,5630,22671900
andaman-&-nicobar-islands,2021,2,744101,73334,227585000
andaman-&-nicobar-islands,2021,2,744103,66321,174753000
andaman-&-nicobar-islands,2021,2,744105,52645,134836000
andaman-&-nicobar-islands,2021,2,744102,34289,100890000
andaman-&-nicobar-islands,2021,2,744202,16476,40647900
andaman-&-nicobar-islands,2021,2,744107,14524,24690600
andaman-&-nicobar-islands,2021,2,744104,11278,28333900
andaman-&-nicobar-islands,2021,2,744211,10182,20378000
andaman-&-nicobar-islands,2021,2,744112,9635,21637700
andaman-&-nicobar-islands,2021,2,744301,8463,27666800
andaman-&-nicobar-islands,2021,3,744101,116324,388328000
andaman-&-nicobar-islands,2021,3,744103,84790,246433000
andaman-&-nicobar-islands,2021,3,744105,67257,185238000
andaman-&-nicobar-islands,2021,3,744102,43850,131240000
andaman-&-nicobar-islands,2021,3,744202,19088,48475200
andaman-&-nicobar-islands,2021,3,744107,16203,37962300
andaman-&-nicobar-islands,2021,3,744104,14657,35301300
andaman-&-nicobar-islands,2021,3,744112,11565,28491600
andaman-&-nicobar-islands,2021,3,744301,11553,43464500
andaman-&-nicobar-islands,2021,3,744211,9655,19497800
andaman-&-nicobar-islands,2021,4,744101,165719,533026000
andaman-&-nicobar-islands,2021,4,744103,121613,372244000
andaman-&-nicobar-islands,2021,4,744105,95028,281223000
andaman-&-nicobar-islands,2021,4,744102,58258,174623000
andaman-&-nicobar-islands,2021,4,744211,27938,94222900
andaman-&-nicobar-islands,2021,4,744104,25662,69245400
andaman-&-nicobar-islands,2021,4,744202,21913,67790800
andaman-&-nicobar-islands,2021,4,744107,21397,52036000
andaman-&-nicobar-islands,2021,4,744112,18915,55448500
andaman-&-nicobar-islands,2021,4,744301,14553,47792300
andaman-&-nicobar-islands,2022,1,744101,209941,615978000
andaman-&-nicobar-islands,2022,1,744103,157230,399716000
andaman-&-nicobar-islands,2022,1,744105,122716,321851000
andaman-&-nicobar-islands,2022,1,744102,74883,193337000
andaman-&-nicobar-islands,2022,1,744104,32471,72915500
andaman-&-nicobar-islands,2022,1,744211,30272,86955600
andaman-&-nicobar-islands,2022,1,744107,25379,58776700
andaman-&-nicobar-islands,2022,1,744202,24022,68519300
andaman-&-nicobar-islands,2022,1,744112,23471,55469800
andaman-&-nicobar-islands,2022,1,744301,17630,56880000
andaman-&-nicobar-islands,2022,2,744101,252722,702122000
andaman-&-nicobar-islands,2022,2,744103,230746,561169000
andaman-&-nicobar-islands,2022,2,744105,176252,415797000
andaman-&-nicobar-islands,2022,2,744102,101551,240452000
andaman-&-nicobar-islands,2022,2,744104,47069,94335400
andaman-&-nicobar-islands,2022,2,744211,40245,108789000
andaman-&-nicobar-islands,2022,2,744107,36402,82851100
andaman-&-nicobar-islands,2022,2,744112,32548,70178300
andaman-&-nicobar-islands,2022,2,744202,27750,84588000
andaman-&-nicobar-islands,2022,2,744301,26170,74485500
andaman-&-nicobar-islands,2022,3,744104,497273,951370000
andaman-&-nicobar-islands,2022,3,744103,259994,545654000
andaman-&-nicobar-islands,2022,3,744101,213864,444967000
andaman-&-nicobar-islands,2022,3,744105,208055,438755000
andaman-&-nicobar-islands,2022,3,744102,114416,239582000
andaman-&-nicobar-islands,2022,3,744107,40466,85492000
andaman-&-nicobar-islands,2022,3,744112,38350,74030600
andaman-&-nicobar-islands,2022,3,744211,37918,89671400
andaman-&-nicobar-islands,2022,3,744202,29918,85509000
andaman-&-nicobar-islands,2022,3,744301,27668,70002600
andaman-&-nicobar-islands,2022,4,744104,684366,1309410000
andaman-&-nicobar-islands,2022,4,744103,304600,612929000
andaman-&-nicobar-islands,2022,4,744105,258097,505663000
andaman-&-nicobar-islands,2022,4,744101,243494,467193000
andaman-&-nicobar-islands,2022,4,744102,134923,264372000
andaman-&-nicobar-islands,2022,4,744211,56491,137253000
andaman-&-nicobar-islands,2022,4,744107,54192,104540000
andaman-&-nicobar-islands,2022,4,744112,46364,82461800
andaman-&-nicobar-islands,2022,4,744202,34689,94217200
andaman-&-nicobar-islands,2022,4,744301,33669,82466600
chandigarh,2018,1,160008,204745,303482000
chandigarh,2018,1,160101,26317,45629500
chandigarh,2018,1,160002,23236,34003100
chandigarh,2018,1,160036,18446,30891400
chandigarh,2018,1,160022,16228,34028200
chandigarh,2018,1,160047,15552,28142300
chandigarh,2018,1,160014,9358,14326400
chandigarh,2018,1,160015,9023,13830200
chandigarh,2018,1,160019,8102,14609500
chandigarh,2018,1,160030,7330,14108200
chandigarh,2018,2,160008,219223,426355000
chandigarh,2018,2,160101,38949,81225800
chandigarh,2018,2,160002,31907,63185500
chandigarh,2018,2,160036,26201,47887600
chandigarh,2018,2,160047,24585,46077300
chandigarh,2018,2,160022,24378,54816700
chandigarh,2018,2,160014,14441,24125900
chandigarh,2018,2,160015,12986,25510000
chandigarh,2018,2,160019,12083,28120000
chandigarh,2018,2,160030,11243,24007400
chandigarh,2018,3,160008,266799,565737000
chandigarh,2018,3,160101,53316,111247000
chandigarh,2018,3,160002,44225,90245100
chandigarh,2018,3,160022,34777,78699600
chandigarh,2018,3,160036,33483,76978400
chandigarh,2018,3,160047,30570,74732500
chandigarh,2018,3,160014,19926,42831400
chandigarh,2018,3,160015,18027,44863600
chandigarh,2018,3,160019,16836,41569400
chandigarh,2018,3,160030,14940,36478500
chandigarh,2018,4,160008,396339,895353000
chandigarh,2018,4,160101,85138,159556000
chandigarh,2018,4,160002,61325,132815000
chandigarh,2018,4,160036,50267,116786000
chandigarh,2018,4,160022,45905,106073000
chandigarh,2018,4,160047,44348,110164000
chandigarh,2018,4,160014,29308,51286600
chandigarh,2018,4,160015,27323,61334700
chandigarh,2018,4,160019,22314,56223800
chandigarh,2018,4,160030,20591,49995700
chandigarh,2019,1,160008,574769,1069930000
chandigarh,2019,1,160101,145641,195216000
chandigarh,2019,1,160002,88708,159879000
chandigarh,2019,1,160036,64777,131055000
chandigarh,2019,1,160022,60415,123938000
chandigarh,2019,1,160047,54281,122276000
chandigarh,2019,1,160014,35848,64999200
chandigarh,2019,1,160015,33699,70740800
chandigarh,2019,1,160019,31111,62795000
chandigarh,2019,1,160030,25421,54605900
chandigarh,2019,2,160008,515736,1195330000
chandigarh,2019,2,160101,122225,213027000
chandigarh,2019,2,160002,85284,178484000
chandigarh,2019,2,160036,76218,147024000
chandigarh,2019,2,160022,68095,145254000
chandigarh,2019,2,160047,65539,146482000
chandigarh,2019,2,160014,40627,73519600
chandigarh,2019,2,160015,36891,72651500
chandigarh,2019,2,160019,34162,71927500
chandigarh,2019,2,160030,27361,61132900
chandigarh,2019,3,160008,463581,1411080000
chandigarh,2019,3,160101,165578,261798000
chandigarh,2019,3,160036,118544,195040000
chandigarh,2019,3,160002,113594,205359000
chandigarh,2019,3,160022,101533,178054000
chandigarh,2019,3,160047,91171,174463000
chandigarh,2019,3,160014,57265,91913500
chandigarh,2019,3,160015,54871,90370600
chandigarh,2019,3,160019,46142,88183700
chandigarh,2019,3,160030,37989,80985500
chandigarh,2019,4,160008,635340,1899720000
chandigarh,2019,4,160101,189767,317467000
chandigarh,2019,4,160036,137208,241851000
