"UnionTerritories","Year","Quarter","District_Pincode","Registered_User"
"andaman-&-nicobar-islands","2018","1","744103","1608"
"andaman-&-nicobar-islands","2018","1","744101","1108"
"andaman-&-nicobar-islands","2018","1","744105","1075"
"andaman-&-nicobar-islands","2018","1","744102","1006"
"andaman-&-nicobar-islands","2018","1","744104","272"
"andaman-&-nicobar-islands","2018","1","744202","237"
"andaman-&-nicobar-islands","2018","1","744112","215"
"andaman-&-nicobar-islands","2018","1","744301","207"
"andaman-&-nicobar-islands","2018","1","744107","196"
"andaman-&-nicobar-islands","2018","1","744211","156"
"andaman-&-nicobar-islands","2018","2","744103","2188"
"andaman-&-nicobar-islands","2018","2","744101","1521"
"andaman-&-nicobar-islands","2018","2","744105","1492"
"andaman-&-nicobar-islands","2018","2","744102","1419"
"andaman-&-nicobar-islands","2018","2","744104","396"
"andaman-&-nicobar-islands","2018","2","744202","343"
"andaman-&-nicobar-islands","2018","2","744112","299"
"andaman-&-nicobar-islands","2018","2","744107","293"
"andaman-&-nicobar-islands","2018","2","744301","273"
"andaman-&-nicobar-islands","2018","2","744211","240"
"andaman-&-nicobar-islands","2018","3","744103","2741"
"andaman-&-nicobar-islands","2018","3","744101","1978"
"andaman-&-nicobar-islands","2018","3","744105","1935"
"andaman-&-nicobar-islands","2018","3","744102","1803"
"andaman-&-nicobar-islands","2018","3","744104","507"
"andaman-&-nicobar-islands","2018","3","744202","446"
"andaman-&-nicobar-islands","2018","3","744112","388"
"andaman-&-nicobar-islands","2018","3","744107","384"
"andaman-&-nicobar-islands","2018","3","744301","372"
"andaman-&-nicobar-islands","2018","3","744211","327"
"andaman-&-nicobar-islands","2018","4","744103","3373"
"andaman-&-nicobar-islands","2018","4","744101","2498"
"andaman-&-nicobar-islands","2018","4","744105","2416"
"andaman-&-nicobar-islands","2018","4","744102","2231"
"andaman-&-nicobar-islands","2018","4","744104","634"
"andaman-&-nicobar-islands","2018","4","744202","554"
"andaman-&-nicobar-islands","2018","4","744107","548"
"andaman-&-nicobar-islands","2018","4","744112","496"
"andaman-&-nicobar-islands","2018","4","744211","433"
"andaman-&-nicobar-islands","2018","4","744301","425"
"andaman-&-nicobar-islands","2019","1","744103","4136"
"andaman-&-nicobar-islands","2019","1","744101","3030"
"andaman-&-nicobar-islands","2019","1","744105","2994"
"andaman-&-nicobar-islands","2019","1","744102","2667"
"andaman-&-nicobar-islands","2019","1","744104","756"
"andaman-&-nicobar-islands","2019","1","744202","753"
"andaman-&-nicobar-islands","2019","1","744107","667"
"andaman-&-nicobar-islands","2019","1","744112","585"
"andaman-&-nicobar-islands","2019","1","744211","524"
"andaman-&-nicobar-islands","2019","1","744301","488"
"andaman-&-nicobar-islands","2019","2","744103","4748"
"andaman-&-nicobar-islands","2019","2","744101","3631"
"andaman-&-nicobar-islands","2019","2","744105","3547"
"andaman-&-nicobar-islands","2019","2","744102","3008"
"andaman-&-nicobar-islands","2019","2","744202","885"
"andaman-&-nicobar-islands","2019","2","744104","878"
"andaman-&-nicobar-islands","2019","2","744107","787"
"andaman-&-nicobar-islands","2019","2","744112","672"
"andaman-&-nicobar-islands","2019","2","744211","633"
"andaman-&-nicobar-islands","2019","2","744301","534"
"andaman-&-nicobar-islands","2019","3","744103","5218"
"andaman-&-nicobar-islands","2019","3","744101","4026"
"andaman-&-nicobar-islands","2019","3","744105","3920"
"andaman-&-nicobar-islands","2019","3","744102","3250"
"andaman-&-nicobar-islands","2019","3","744202","982"
"andaman-&-nicobar-islands","2019","3","744104","975"
"andaman-&-nicobar-islands","2019","3","744107","885"
"andaman-&-nicobar-islands","2019","3","744112","765"
"andaman-&-nicobar-islands","2019","3","744211","701"
"andaman-&-nicobar-islands","2019","3","744301","575"
"andaman-&-nicobar-islands","2019","4","744103","5637"
"andaman-&-nicobar-islands","2019","4","744101","4321"
"andaman-&-nicobar-islands","2019","4","744105","4277"
"andaman-&-nicobar-islands","2019","4","744102","3485"
"andaman-&-nicobar-islands","2019","4","744202","1087"
"andaman-&-nicobar-islands","2019","4","744104","1062"
"andaman-&-nicobar-islands","2019","4","744107","953"
"andaman-&-nicobar-islands","2019","4","744112","812"
"andaman-&-nicobar-islands","2019","4","744211","783"
"andaman-&-nicobar-islands","2019","4","744301","611"
"andaman-&-nicobar-islands","2020","1","744103","6108"
"andaman-&-nicobar-islands","2020","1","744101","4689"
"andaman-&-nicobar-islands","2020","1","744105","4684"
"andaman-&-nicobar-islands","2020","1","744102","3727"
"andaman-&-nicobar-islands","2020","1","744202","1216"
"andaman-&-nicobar-islands","2020","1","744104","1154"
"andaman-&-nicobar-islands","2020","1","744107","1062"
"andaman-&-nicobar-islands","2020","1","744112","889"
"andaman-&-nicobar-islands","2020","1","744211","886"
"andaman-&-nicobar-islands","2020","1","744301","669"
"andaman-&-nicobar-islands","2020","2","744103","6804"
"andaman-&-nicobar-islands","2020","2","744105","5479"
"andaman-&-nicobar-islands","2020","2","744101","5365"
"andaman-&-nicobar-islands","2020","2","744102","4066"
"andaman-&-nicobar-islands","2020","2","744202","1475"
"andaman-&-nicobar-islands","2020","2","744104","1333"
"andaman-&-nicobar-islands","2020","2","744107","1252"
"andaman-&-nicobar-islands","2020","2","744112","1039"
"andaman-&-nicobar-islands","2020","2","744211","1036"
"andaman-&-nicobar-islands","2020","2","744205","806"
"andaman-&-nicobar-islands","2020","3","744103","8318"
"andaman-&-nicobar-islands","2020","3","744105","7007"
"andaman-&-nicobar-islands","2020","3","744101","6881"
"andaman-&-nicobar-islands","2020","3","744102","4919"
"andaman-&-nicobar-islands","2020","3","744202","1965"
"andaman-&-nicobar-islands","2020","3","744104","1718"
"andaman-&-nicobar-islands","2020","3","744107","1710"
"andaman-&-nicobar-islands","2020","3","744112","1372"
"andaman-&-nicobar-islands","2020","3","744211","1279"
"andaman-&-nicobar-islands","2020","3","744205","1008"
"andaman-&-nicobar-islands","2020","4","744103","10408"
"andaman-&-nicobar-islands","2020","4","744105","8962"
"andaman-&-nicobar-islands","2020","4","744101","8593"
"andaman-&-nicobar-islands","2020","4","744102","5882"
"andaman-&-nicobar-islands","2020","4","744202","2711"
"andaman-&-nicobar-islands","2020","4","744107","2346"
"andaman-&-nicobar-islands","2020","4","744104","2167"
"andaman-&-nicobar-islands","2020","4","744112","1761"
"andaman-&-nicobar-islands","2020","4","744211","1579"
"andaman-&-nicobar-islands","2020","4","744205","1346"
"andaman-&-nicobar-islands","2021","1","744103","11416"
"andaman-&-nicobar-islands","2021","1","744105","9934"
"andaman-&-nicobar-islands","2021","1","744101","9457"
"andaman-&-nicobar-islands","2021","1","744102","6395"
"andaman-&-nicobar-islands","2021","1","744202","3005"
"andaman-&-nicobar-islands","2021","1","744107","2586"
"andaman-&-nicobar-islands","2021","1","744104","2383"
"andaman-&-nicobar-islands","2021","1","744112","1940"
"andaman-&-nicobar-islands","2021","1","744211","1774"
"andaman-&-nicobar-islands","2021","1","744205","1505"
"andaman-&-nicobar-islands","2021","2","744103","12268"
"andaman-&-nicobar-islands","2021","2","744105","10668"
"andaman-&-nicobar-islands","2021","2","744101","10120"
"andaman-&-nicobar-islands","2021","2","744102","6837"
"andaman-&-nicobar-islands","2021","2","744202","3261"
"andaman-&-nicobar-islands","2021","2","744107","2783"
"andaman-&-nicobar-islands","2021","2","744104","2573"
"andaman-&-nicobar-islands","2021","2","744112","2083"
"andaman-&-nicobar-islands","2021","2","744211","1904"
"andaman-&-nicobar-islands","2021","2","744205","1626"
"andaman-&-nicobar-islands","2021","3","744103","13198"
"andaman-&-nicobar-islands","2021","3","744105","11480"
"andaman-&-nicobar-islands","2021","3","744101","10866"
"andaman-&-nicobar-islands","2021","3","744102","7313"
"andaman-&-nicobar-islands","2021","3","744202","3543"
"andaman-&-nicobar-islands","2021","3","744107","3027"
"andaman-&-nicobar-islands","2021","3","744104","2777"
